Conference,Division,FullName,StadiumID,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,FanDuelPlayerID
NFC,West,Arizona Cardinals,29,97233F,FFFFFF,000000,A5ACAF,12546
NFC,South,Atlanta Falcons,45,000000,A71930,A5ACAF,FFFFFF,12525
AFC,North,Baltimore Ravens,7,24135F,000000,9A7611,,12555
AFC,East,Buffalo Bills,1,00338D,C60C30,FFFFFF,00274D,12526
NFC,South,Carolina Panthers,26,000000,0085CA,BFC0BF,,12553
NFC,North,Chicago Bears,20,0B162A,E64100,FFFFFF,,12527
AFC,North,Cincinnati Bengals,5,000000,FB4F14,FFFFFF,,12528
AFC,North,Cleveland Browns,6,311D00,FF3300,FFFFFF,,12529
NFC,East,Dallas Cowboys,17,002244,B0B7BC,00338D,ADD9CE,12530
AFC,West,Denver Broncos,13,FC4C02,0A2343,FFFFFF,,12531
NFC,North,Detroit Lions,21,0076B6,B0B7BC,FFFFFF,000000,12532
NFC,North,Green Bay Packers,22,203731,FFB612,FFFFFF,,12533
AFC,South,Houston Texans,11,021018,EB0028,FFFFFF,0080C6,12556
AFC,South,Indianapolis Colts,9,013369,FFFFFF,A5ACAF,1D252C,12535
AFC,South,Jacksonville Jaguars,10,006778,000000,9F792C,,12554
AFC,West,Kansas City Chiefs,15,E31837,FFB612,FFFFFF,,12536
AFC,West,Los Angeles Raiders,,,,,,
NFC,West,Los Angeles Rams,,,,,,
AFC,East,Miami Dolphins,2,008E97,FC4C02,FFFFFF,005778,12539
NFC,North,Minnesota Vikings,42,4F2683,FFC62F,FFFFFF,,12540
AFC,East,New England Patriots,4,002244,C60C30,B0B7BC,FFFFFF,12541
NFC,South,New Orleans Saints,27,D3BC8D,000000,FFFFFF,,12542
NFC,East,New York Giants,3,0B2265,A71930,FFFFFF,,12543
AFC,East,New York Jets,3,115740,FFFFFF,000000,,12544
AFC,West,Las Vegas Raiders,53,C8C7C7,000000,,,12537
NFC,East,Philadelphia Eagles,18,004851,A2AAAD,000000,FFFFFF,12545
NFC,West,Phoenix Cardinals,,,,,,
AFC,North,Pittsburgh Steelers,8,000000,FFB612,,,12547
AFC,West,Los Angeles Chargers,54,0080C6,FFC20E,FFFFFF,,12548
NFC,West,Seattle Seahawks,31,002244,69BE28,A5ACAF,,12550
NFC,West,San Francisco 49ers,37,AA0000,B3995D,,,12549
NFC,West,Los Angeles Rams,54,003594,FFD100,,,12538
NFC,South,Tampa Bay Buccaneers,24,A71930,322F2B,DC4405,000000,12551
AFC,South,Tennessee Titans,12,4B92DB,002244,C60C30,A5ACAF,12534
NFC,East,Washington Commanders,19,5A1414,FFB612,FFFFFF,000000,12552
AFC,None,AFC All Pros,,,,,,12916
NFC,None,NFC All Pros,,,,,,12915
